concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
192359,Renal failure syndrome,Condition,SNOMED,Disorder,S,42399005,2002-01-31,2099-12-31,NA
193782,End-stage renal disease,Condition,SNOMED,Disorder,S,46177005,2002-01-31,2099-12-31,NA
196455,Hepatorenal syndrome,Condition,SNOMED,Disorder,S,51292008,2002-01-31,2099-12-31,NA
197320,Acute kidney injury,Condition,SNOMED,Disorder,S,14669001,2002-01-31,2099-12-31,NA
197329,Acute renal failure due to acute cortical necrosis,Condition,SNOMED,Disorder,S,429224003,2008-01-31,2099-12-31,NA
198185,Chronic renal failure,Condition,SNOMED,Disorder,S,90688005,2002-01-31,2099-12-31,NA
432961,Acute renal papillary necrosis with renal failure,Condition,SNOMED,Disorder,S,298015003,2002-01-31,2099-12-31,NA
439694,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,Condition,SNOMED,Disorder,S,194781004,2002-01-31,2099-12-31,NA
439695,Hypertensive heart and renal disease with renal failure,Condition,SNOMED,Disorder,S,194780003,2002-01-31,2099-12-31,NA
443919,Hypertensive renal failure,Condition,SNOMED,Disorder,S,49220004,2002-01-31,2099-12-31,NA
443961,Anemia of chronic renal failure,Condition,SNOMED,Disorder,S,49708008,2002-01-31,2099-12-31,NA
601166,End stage renal disease on dialysis due to drug induced diabetes mellitus,Condition,SNOMED,Disorder,S,368471000119109,2021-01-31,2099-12-31,NA
1244911,Post-renal acute kidney injury,Condition,SNOMED,Disorder,S,1293198008,2023-11-01,2099-12-31,NA
1244913,Intra-renal acute kidney injury,Condition,SNOMED,Disorder,S,1293200002,2023-11-01,2099-12-31,NA
1340282,Exacerbation of chronic renal failure,Condition,OMOP Extension,Disorder,S,OMOP5165937,2022-05-06,2099-12-31,NA
1340455,Exacerbation of renal failure syndrome,Condition,OMOP Extension,Disorder,S,OMOP5166110,2022-05-06,2099-12-31,NA
1340522,Progression of renal failure syndrome,Condition,OMOP Extension,Disorder,S,OMOP5166177,2022-05-06,2099-12-31,NA
3169303,Chronic kidney disease stage V,Condition,Nebraska Lexicon,Clinical Finding,S,9720001000004108,2016-01-28,2099-12-31,NA
3177485,Chronic kidney disease stage III,Condition,Nebraska Lexicon,Clinical Finding,S,9700001000004102,2016-01-28,2099-12-31,NA
3178768,Chronic renal failure syndrome stage IV,Condition,Nebraska Lexicon,Clinical Finding,S,9710001000004100,2016-01-28,2099-12-31,NA
3185897,Chronic kidney disease stage II,Condition,Nebraska Lexicon,Clinical Finding,S,9690001000004105,2016-01-28,2099-12-31,NA
3189598,Transient renal failure,Condition,Nebraska Lexicon,Clinical Finding,S,23510001000004102,2016-01-28,2099-12-31,NA
3661748,Acute kidney injury due to COVID-19,Condition,SNOMED,Disorder,S,870589006,2020-07-31,2099-12-31,NA
4030520,End stage renal failure on dialysis,Condition,SNOMED,Disorder,S,236435004,2002-01-31,2099-12-31,NA
4033463,Enamel-renal syndrome,Condition,SNOMED,Disorder,S,109477002,2002-01-31,2099-12-31,NA
4066405,Failed attempted termination of pregnancy with acute renal failure,Condition,SNOMED,Disorder,S,17380002,2002-01-31,2099-12-31,NA
4119093,Hepatorenal syndrome following delivery,Condition,SNOMED,Disorder,S,22846003,2002-01-31,2099-12-31,NA
4125970,End stage renal failure with renal transplant,Condition,SNOMED,Disorder,S,236436003,2002-01-31,2099-12-31,NA
4126305,Acute renal impairment,Condition,SNOMED,Disorder,S,236424009,2002-01-31,2099-12-31,NA
4126424,Nephrotoxic acute renal failure,Condition,SNOMED,Disorder,S,236428007,2002-01-31,2099-12-31,NA
4126426,Traumatic anuria - crush syndrome,Condition,SNOMED,Disorder,S,236431008,2002-01-31,2099-12-31,NA
4126427,Pulmonary renal syndrome,Condition,SNOMED,Disorder,S,236432001,2002-01-31,2099-12-31,NA
4128029,Crush syndrome,Condition,SNOMED,Disorder,S,23697004,2002-01-31,2099-12-31,NA
4128067,Acute-on-chronic renal failure,Condition,SNOMED,Disorder,S,236433006,2002-01-31,2099-12-31,NA
4128200,End stage renal failure untreated by renal replacement therapy,Condition,SNOMED,Disorder,S,236434000,2002-01-31,2099-12-31,NA
4139414,Transient acute renal failure,Condition,SNOMED,Disorder,S,307309005,2002-01-31,2099-12-31,NA
4149398,Congenital renal failure,Condition,SNOMED,Disorder,S,268854008,2002-01-31,2099-12-31,NA
4149888,Hepatorenal syndrome due to a procedure,Condition,SNOMED,Disorder,S,31005002,2002-01-31,2099-12-31,NA
4150547,Anemia secondary to renal failure,Condition,SNOMED,Disorder,S,310647000,2002-01-31,2099-12-31,NA
4151112,Acute renal failure due to crush syndrome,Condition,SNOMED,Disorder,S,269257004,2002-01-31,2099-12-31,NA
4153876,Renal failure as a complication of care,Condition,SNOMED,Disorder,S,269301005,2002-01-31,2099-12-31,NA
4160274,Acute renal failure with oliguria,Condition,SNOMED,Disorder,S,430535006,2008-07-31,2099-12-31,NA
4163982,Subacute milk alkali syndrome,Condition,SNOMED,Disorder,S,45646000,2002-01-31,2099-12-31,NA
4170452,Postoperative renal failure,Condition,SNOMED,Disorder,S,275408006,2002-01-31,2099-12-31,NA
4180769,Renal failure associated with renal vascular disease,Condition,SNOMED,Disorder,S,363287001,2002-01-31,2099-12-31,NA
4183446,Milk alkali syndrome,Condition,SNOMED,Disorder,S,43258006,2002-01-31,2099-12-31,NA
4200639,Post-renal renal failure,Condition,SNOMED,Disorder,S,301814009,2002-01-31,2099-12-31,NA
4228827,Acute milk alkali syndrome,Condition,SNOMED,Disorder,S,88380005,2002-01-31,2099-12-31,NA
4232873,Acute postoperative renal failure,Condition,SNOMED,Disorder,S,438783006,2009-01-31,2099-12-31,NA
4239804,Chronic milk alkali syndrome,Condition,SNOMED,Disorder,S,57557005,2002-01-31,2099-12-31,NA
4264681,Acute renal failure due to procedure,Condition,SNOMED,Disorder,S,36225005,2002-01-31,2099-12-31,NA
4265212,Familial arthrogryposis-cholestatic hepatorenal syndrome,Condition,SNOMED,Disorder,S,62216007,2002-01-31,2099-12-31,NA
4306513,Acute renal failure caused by angiotensin-converting-enzyme inhibitor,Condition,SNOMED,Disorder,S,422593004,2007-01-31,2099-12-31,NA
4308408,Hepatorenal syndrome as a complication of care,Condition,SNOMED,Disorder,S,213231008,2002-01-31,2099-12-31,NA
4311129,Acute renal failure due to ischemia,Condition,SNOMED,Disorder,S,423533009,2007-01-31,2099-12-31,NA
4322556,Chronic progressive renal failure,Condition,SNOMED,Disorder,S,425369003,2007-01-31,2099-12-31,NA
36679002,"Hyperuricemia, pulmonary hypertension, renal failure, alkalosis syndrome",Condition,SNOMED,Disorder,S,776416004,2019-01-31,2099-12-31,NA
36716182,Acute kidney injury due to circulatory failure,Condition,SNOMED,Disorder,S,722095005,2017-01-31,2099-12-31,NA
36716183,Acute kidney injury due to hypovolemia,Condition,SNOMED,Disorder,S,722096006,2017-01-31,2099-12-31,NA
36716312,Acute kidney injury due to sepsis,Condition,SNOMED,Disorder,S,722278006,2017-01-31,2099-12-31,NA
37016366,Acute kidney injury caused by contrast agent,Condition,SNOMED,Disorder,S,368951000119105,2016-01-31,2099-12-31,NA
37017425,Renal failure syndrome co-occurrent with human immunodeficiency virus infection,Condition,SNOMED,Disorder,S,713696000,2016-01-31,2099-12-31,NA
37018886,End stage renal disease due to hypertension,Condition,SNOMED,Disorder,S,111411000119103,2016-01-31,2099-12-31,NA
37116430,Acute kidney failure stage 1,Condition,SNOMED,Disorder,S,733137002,2017-07-31,2099-12-31,NA
37116431,Acute kidney failure stage 2,Condition,SNOMED,Disorder,S,733138007,2017-07-31,2099-12-31,NA
37116432,Acute kidney failure stage 3,Condition,SNOMED,Disorder,S,733139004,2017-07-31,2099-12-31,NA
37116834,Postpartum acute renal failure,Condition,SNOMED,Disorder,S,733839001,2017-07-31,2099-12-31,NA
37117182,"Nephropathy, deafness, hyperparathyroidism syndrome",Condition,SNOMED,Disorder,S,724093004,2017-07-31,2099-12-31,NA
37161211,Acute kidney injury following administration of contrast media,Condition,SNOMED,Disorder,S,1177174007,2021-10-31,2099-12-31,NA
37163784,Incomplete induced termination of pregnancy complicated by renal failure,Condition,SNOMED,Disorder,S,1220586000,2022-05-31,2099-12-31,NA
37163822,Renal failure due to and following complete induced termination of pregnancy,Condition,SNOMED,Disorder,S,1220648003,2022-05-31,2099-12-31,NA
37164057,Postprocedural acute renal failure,Condition,SNOMED,Disorder,S,12245621000119102,2022-12-31,2099-12-31,NA
37167180,Renal tubular necrosis following ectopic pregnancy,Condition,SNOMED,Disorder,S,1263953006,2023-02-28,2099-12-31,NA
37167181,Renal tubular necrosis following molar pregnancy,Condition,SNOMED,Disorder,S,1263954000,2023-02-28,2099-12-31,NA
37167182,Acute renal failure following ectopic pregnancy,Condition,SNOMED,Disorder,S,1263955004,2023-02-28,2099-12-31,NA
37167183,Acute renal failure following molar pregnancy,Condition,SNOMED,Disorder,S,1263956003,2023-02-28,2099-12-31,NA
37168714,Hepatorenal syndrome with acute kidney injury,Condition,SNOMED,Disorder,S,1285574007,2023-07-31,2099-12-31,NA
37395514,Acute kidney injury due to acute tubular necrosis due to hypovolaemia,Condition,SNOMED,Disorder,S,1048451000000103,2016-04-01,2099-12-31,NA
37395516,Acute kidney injury due to acute tubular necrosis due to circulatory failure,Condition,SNOMED,Disorder,S,1048481000000109,2016-04-01,2099-12-31,NA
37395517,Acute kidney injury due to acute tubular necrosis due to sepsis,Condition,SNOMED,Disorder,S,1048491000000106,2016-04-01,2099-12-31,NA
37395518,Acute kidney injury due to acute tubular necrosis with histological evidence,Condition,SNOMED,Disorder,S,1048501000000100,2016-04-01,2099-12-31,NA
37395519,Acute kidney injury due to acute tubular necrosis due to hypovolaemia with histological evidence,Condition,SNOMED,Disorder,S,1048511000000103,2016-04-01,2099-12-31,NA
37395520,Acute kidney injury due to acute tubular necrosis due to sepsis with histological evidence,Condition,SNOMED,Disorder,S,1048521000000109,2016-04-01,2099-12-31,NA
37395521,Acute kidney injury due to acute tubular necrosis due to circulatory failure with histological evidence,Condition,SNOMED,Disorder,S,1048541000000102,2016-04-01,2099-12-31,NA
42537766,Renal failure following molar pregnancy,Condition,SNOMED,Disorder,S,737327002,2018-01-31,2099-12-31,NA
42872405,"Anemia, pre-end stage renal disease on erythropoietin protocol",Condition,SNOMED,Disorder,S,1801000119106,2012-07-31,2099-12-31,NA
43020455,Malignant hypertensive end stage renal disease,Condition,SNOMED,Disorder,S,285841000119104,2013-01-31,2099-12-31,NA
43021864,Malignant hypertensive end stage renal disease on dialysis,Condition,SNOMED,Disorder,S,286371000119107,2013-01-31,2099-12-31,NA
43530912,Induced termination of pregnancy complicated by renal failure,Condition,SNOMED,Disorder,S,609452007,2013-07-31,2099-12-31,NA
43530914,Induced termination of pregnancy complicated by acute renal failure,Condition,SNOMED,Disorder,S,609455009,2013-07-31,2099-12-31,NA
43530928,Induced termination of pregnancy complicated by acute renal failure with oliguria,Condition,SNOMED,Disorder,S,609472002,2013-07-31,2099-12-31,NA
44782717,End stage renal disease on dialysis due to hypertension,Condition,SNOMED,Disorder,S,153891000119101,2014-01-31,2099-12-31,NA
44784439,Benign hypertensive renal disease with renal failure,Condition,SNOMED,Disorder,S,698591006,2014-01-31,2099-12-31,NA
44808128,Acute renal failure due to traumatic rhabdomyolysis,Condition,SNOMED,Disorder,S,847851000000101,2012-10-01,2099-12-31,NA
44808338,Acute renal failure induced by aminoglycoside,Condition,SNOMED,Disorder,S,840371000000100,2012-10-01,2099-12-31,NA
44808340,Acute renal failure induced by cyclosporin A,Condition,SNOMED,Disorder,S,840451000000102,2012-10-01,2099-12-31,NA
44808744,Acute renal failure due to non-traumatic rhabdomyolysis,Condition,SNOMED,Disorder,S,841961000000100,2012-10-01,2099-12-31,NA
44808821,Acute renal failure induced by animal toxin,Condition,SNOMED,Disorder,S,842511000000101,2012-10-01,2099-12-31,NA
44808822,Acute renal failure induced by plant toxin,Condition,SNOMED,Disorder,S,842531000000109,2012-10-01,2099-12-31,NA
44808823,Acute renal failure induced by heavy metal,Condition,SNOMED,Disorder,S,842551000000102,2012-10-01,2099-12-31,NA
44809170,Acute renal failure induced by poison,Condition,SNOMED,Disorder,S,844631000000104,2012-10-01,2099-12-31,NA
44809173,Acute renal failure induced by radiographic contrast media,Condition,SNOMED,Disorder,S,844701000000103,2012-10-01,2099-12-31,NA
44809286,Acute renal failure induced by solvent,Condition,SNOMED,Disorder,S,844741000000100,2012-10-01,2099-12-31,NA
44813789,Acute renal failure induced by cisplatin,Condition,SNOMED,Disorder,S,840431000000109,2012-10-01,2099-12-31,NA
44813790,Acute renal failure induced by non-steroidal anti-inflammatory drug,Condition,SNOMED,Disorder,S,840471000000106,2012-10-01,2099-12-31,NA
45757120,Renal failure after ectopic pregnancy,Condition,SNOMED,Disorder,S,10752771000119100,2014-07-31,2099-12-31,NA
45757392,Hypertension concurrent and due to end stage renal disease on dialysis due to type 2 diabetes mellitus,Condition,SNOMED,Disorder,S,127991000119101,2015-01-31,2099-12-31,NA
45757393,Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,128001000119105,2015-01-31,2099-12-31,NA
45757398,Acute renal failure on dialysis,Condition,SNOMED,Disorder,S,129721000119106,2015-01-31,2099-12-31,NA
45757466,Acute renal failure due to tubular necrosis,Condition,SNOMED,Disorder,S,145681000119101,2015-01-31,2099-12-31,NA
45768813,Anemia in end stage renal disease,Condition,SNOMED,Disorder,S,707324008,2015-01-31,2099-12-31,NA
45769904,End stage renal disease on dialysis due to type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,90771000119100,2015-01-31,2099-12-31,NA
45769906,End stage renal disease on dialysis due to type 2 diabetes mellitus,Condition,SNOMED,Disorder,S,90791000119104,2015-01-31,2099-12-31,NA
45770903,Prerenal renal failure,Condition,SNOMED,Disorder,S,129561000119108,2015-01-31,2099-12-31,NA
45772751,Hypertension concurrent and due to end stage renal disease on dialysis,Condition,SNOMED,Disorder,S,704667004,2015-01-31,2099-12-31,NA
46273164,End stage renal disease due to benign hypertension,Condition,SNOMED,Disorder,S,712487000,2015-07-31,2099-12-31,NA
